area_type,area_code,area_name,scope,n_blocks,uhi_mean,uhi_p10,uhi_p90,canopy_mean,canopy_p10,canopy_p90,coolest_mb_code,coolest_uhi,coolest_canopy_pct
LGA,Mornington Peninsula (S),Mornington Peninsula (S),RESIDENTIAL,2229,5.3495,2.6865,8.0759,20.3496,8.7278,33.1721,20485780000,-7.4353,29.8191
LGA,Nillumbik (S),Nillumbik (S),RESIDENTIAL,453,7.1862,5.5001,8.6649,27.5055,14.6434,40.6279,20513810000,2.9275,40.4157
LGA,Port Phillip (C),Port Phillip (C),RESIDENTIAL,1188,7.3257,5.9923,8.6142,15.8083,7.2518,25.959,20532160000,3.3561,13.1891
LGA,Stonnington (C),Stonnington (C),RESIDENTIAL,1222,7.5244,6.6143,8.3838,19.2171,10.6352,28.7704,20548370000,5.0345,28.6234
LGA,Whitehorse (C),Whitehorse (C),RESIDENTIAL,1616,7.9852,7.0838,8.7994,17.5984,11.2413,25.5034,20605790000,4.9166,40.0687
LGA,Whittlesea (C),Whittlesea (C),RESIDENTIAL,1780,9.5945,8.6479,10.7912,6.668,2.1904,11.3719,20608699000,5.46,5.5924
LGA,Wyndham (C),Wyndham (C),RESIDENTIAL,1887,9.3924,7.5345,11.682,5.2564,1.0858,9.4961,20632290000,3.7525,3.9603
LGA,Yarra (C),Yarra (C),RESIDENTIAL,864,8.2078,7.3133,9.1751,12.1846,5.2132,20.0658,20639430000,4.2274,36.631
LGA,Yarra Ranges (S),Yarra Ranges (S),RESIDENTIAL,1084,6.0259,3.5266,8.0127,27.3272,12.7962,47.4017,20662072000,-0.2966,55.6174
SA3,20601,Brunswick - Coburg,RESIDENTIAL,890,8.9468,8.3036,9.5942,9.7601,5.258,14.7385,20631954400,5.576,13.7755
SA3,20602,Darebin - South,RESIDENTIAL,600,8.0507,7.2369,8.8561,12.6945,7.3234,19.8099,20140710000,5.9323,30.6556
SA3,20603,Essendon,RESIDENTIAL,693,9.327,8.5524,10.1358,11.9958,6.4856,17.8785,20452160000,5.2839,9.3176
SA3,20604,Melbourne City,RESIDENTIAL,668,8.0381,6.2274,9.5607,14.472,3.2757,25.3271,20393800000,2.8541,1.6519
SA3,20605,Port Phillip,RESIDENTIAL,1191,7.3219,5.9849,8.6135,15.7811,7.2289,25.9582,20532160000,3.3561,13.1891
SA3,20606,Stonnington - West,RESIDENTIAL,752,7.305,6.3763,8.1292,19.794,10.2918,30.0116,20548370000,5.0345,28.6234
SA3,20607,Yarra,RESIDENTIAL,874,8.2068,7.3088,9.1751,12.2103,5.2132,20.1191,20639430000,4.2274,36.631
SA3,20701,Boroondara,RESIDENTIAL,1774,7.5266,6.729,8.3192,19.0484,12.6823,25.7829,20074940000,4.0003,34.1011
SA3,20702,Manningham - West,RESIDENTIAL,891,8.6954,7.9229,9.4616,14.2446,9.4567,19.5808,20361000000,5.3825,40.5479
SA3,20703,Whitehorse - West,RESIDENTIAL,1024,8.0253,7.1549,8.8076,17.3343,10.775,25.2613,20605790000,4.9166,40.0687
SA3,20801,Bayside,RESIDENTIAL,1002,7.6647,6.2244,8.8802,16.5069,11.5148,21.9271,20050160000,4.4675,7.7289
SA3,20802,Glen Eira,RESIDENTIAL,1617,8.6369,7.9448,9.3685,12.5652,7.8561,17.8399,20631970050,5.7576,29.7117
SA3,20803,Kingston,RESIDENTIAL,1312,9.3446,7.9683,10.4911,10.2119,5.4351,14.6461,20326270000,5.4478,9.5743
SA3,20804,Stonnington - East,RESIDENTIAL,470,7.8754,7.165,8.6023,18.294,11.3641,26.2159,20552830000,5.5352,20.3391
SA3,20901,Banyule,RESIDENTIAL,1288,8.3273,7.2602,9.3263,18.1406,10.4262,28.0903,20020890000,4.3709,47.0551
SA3,20902,Darebin - North,RESIDENTIAL,959,8.775,8.1628,9.361,9.2448,5.2361,13.2488,20631933980,6.0708,38.4346
SA3,20903,Nillumbik - Kinglake,RESIDENTIAL,453,7.1862,5.5001,8.6649,27.5055,14.6434,40.6279,20513810000,2.9275,40.4157
SA3,20904,Whittlesea - Wallan,RESIDENTIAL,1881,9.433,8.3444,10.7374,6.7202,2.025,11.6395,20631997280,4.7694,18.2901
SA3,21001,Keilor,RESIDENTIAL,573,10.0543,9.3047,10.6247,8.4986,4.4833,14.0387,20454000000,8.3211,13.3248
