mb_code16,warming_level,days_label,days_lower,days_upper
20017760000,1.2,5-10,5,10
20017770000,1.2,5-10,5,10
20017780000,1.2,5-10,5,10
20017790000,1.2,5-10,5,10
20017800000,1.2,5-10,5,10
20017810000,1.2,5-10,5,10
20017820000,1.2,5-10,5,10
20017830000,1.2,5-10,5,10
20017840000,1.2,5-10,5,10
20017850000,1.2,5-10,5,10
20017860000,1.2,5-10,5,10
20017870000,1.2,5-10,5,10
20017880000,1.2,5-10,5,10
20016800000,1.2,5-10,5,10
20017920000,1.2,5-10,5,10
20017930000,1.2,5-10,5,10
20017940000,1.2,5-10,5,10
20017950000,1.2,5-10,5,10
20017960000,1.2,5-10,5,10
20017970000,1.2,5-10,5,10
20017980000,1.2,5-10,5,10
20017460000,1.2,5-10,5,10
20017470000,1.2,5-10,5,10
20017480000,1.2,5-10,5,10
20017490000,1.2,5-10,5,10
20017500000,1.2,5-10,5,10
20017510000,1.2,5-10,5,10
20017520000,1.2,5-10,5,10
20017530000,1.2,5-10,5,10
20017540000,1.2,5-10,5,10
20017550000,1.2,5-10,5,10
20017560000,1.2,5-10,5,10
20017680000,1.2,5-10,5,10
20017570000,1.2,5-10,5,10
20017581000,1.2,5-10,5,10
20017582000,1.2,5-10,5,10
20017590000,1.2,5-10,5,10
20017600000,1.2,5-10,5,10
20017610000,1.2,5-10,5,10
20017620000,1.2,5-10,5,10
20017631000,1.2,5-10,5,10
20017632000,1.2,5-10,5,10
20018730000,1.2,5-10,5,10
20017642000,1.2,5-10,5,10
20017650000,1.2,5-10,5,10
20017660000,1.2,5-10,5,10
20017670000,1.2,5-10,5,10
20017690000,1.2,5-10,5,10
20017700000,1.2,5-10,5,10
20017710000,1.2,5-10,5,10
20016860000,1.2,5-10,5,10
20016870000,1.2,5-10,5,10
20016880000,1.2,5-10,5,10
20016890000,1.2,5-10,5,10
20016900000,1.2,5-10,5,10
20016910000,1.2,5-10,5,10
20016920000,1.2,5-10,5,10
20016930000,1.2,5-10,5,10
20016940000,1.2,5-10,5,10
20016950000,1.2,5-10,5,10
20016960000,1.2,5-10,5,10
20016970000,1.2,5-10,5,10
20016980000,1.2,5-10,5,10
20016990000,1.2,5-10,5,10
20017000000,1.2,5-10,5,10
20017010000,1.2,5-10,5,10
20017020000,1.2,5-10,5,10
20017030000,1.2,5-10,5,10
20017040000,1.2,5-10,5,10
20017050000,1.2,5-10,5,10
20017060000,1.2,5-10,5,10
20017070000,1.2,5-10,5,10
20017080000,1.2,5-10,5,10
20017090000,1.2,5-10,5,10
20017100000,1.2,5-10,5,10
20018260000,1.2,5-10,5,10
20018270000,1.2,5-10,5,10
20018280000,1.2,5-10,5,10
20018290000,1.2,5-10,5,10
20018300000,1.2,5-10,5,10
20018310000,1.2,5-10,5,10
20018321000,1.2,5-10,5,10
20018322000,1.2,5-10,5,10
20018330000,1.2,5-10,5,10
20018340000,1.2,5-10,5,10
20018350000,1.2,5-10,5,10
20018360000,1.2,5-10,5,10
20018370000,1.2,5-10,5,10
20018380000,1.2,5-10,5,10
20018390000,1.2,5-10,5,10
20018400000,1.2,5-10,5,10
20018410000,1.2,5-10,5,10
20018420000,1.2,5-10,5,10
20018430000,1.2,5-10,5,10
20018440000,1.2,5-10,5,10
20018450000,1.2,5-10,5,10
20018460000,1.2,5-10,5,10
20018470000,1.2,5-10,5,10
20018480000,1.2,5-10,5,10
20018490000,1.2,5-10,5,10
20018500000,1.2,5-10,5,10
20018510000,1.2,5-10,5,10
20018520000,1.2,5-10,5,10
20018530000,1.2,5-10,5,10
20018540000,1.2,5-10,5,10
20018550000,1.2,5-10,5,10
20018560000,1.2,5-10,5,10
20018820000,1.2,5-10,5,10
20018830000,1.2,5-10,5,10
20018840000,1.2,5-10,5,10
20018851000,1.2,5-10,5,10
20018852000,1.2,5-10,5,10
20018860000,1.2,5-10,5,10
20018870000,1.2,5-10,5,10
20018880000,1.2,5-10,5,10
20018890000,1.2,5-10,5,10
20018900000,1.2,5-10,5,10
20018910000,1.2,5-10,5,10
